ASXL1	ASXL2	BAP1	BRAF	CASP8	CDKN2A	FBXW7	HRAS	KIT	KRAS	MAP2K4	MAP3K1	MAP4K3	NF1	NOTCH1	NOTCH2	NPM1	PIK3CA	PIK3R1	PTEN	RASA1	TRIP12
ADNP	ARID1A	ARID2	PBRM1
KDM6A	MLL2	MLL3
APC	AXIN2
B2M	CD1D
CBFB	RUNX1
CEBPA	TCF7L2
CTCF	RAD21
DNMT3A	RB1
ELF3	ERBB2
IDH1	IDH2
KEAP1	NFE2L2
MYD88	SPOP
SMAD2	SMAD4
SMARCA4	SMARCB1
